uni_const_code,pre_ind_nota,post_ind_nota,nota_percoftotal
0|23|6,20.83897158,18.22573301,28.96002851
0|23|7,15.87516961,27.4336386,26.94202966
0|23|8,23.21167883,25.22489772,17.03052478
0|23|9,24.18772563,22.73334107,24.30732915
0|24|1,32.67670915,18.12297735,79.61165049
0|24|10,24.27745665,15.43842878,57.35018436
0|24|11,59.01639344,17.00883196,32.45758161
0|24|12,25.64935065,18.90487257,14.48155657
0|24|13,47.22222222,19.87601492,55.5540926
0|24|14,38.65771812,17.00867487,41.93054778
0|24|15,39.08730159,18.46126761,36.39084507
0|24|16,50,20.03924867,52.19792543
0|24|17,61.4973262,18.26697892,74.94145199
0|24|2,36.55172414,35.95835077,22.96936269
0|24|20,51.1627907,16.14349776,81.16591928
0|24|21,100,15.63876652,79.40528634
0|24|22,54.36046512,23.73693147,28.8136535
0|24|23,53.37837838,21.83674866,52.8890149
0|24|24,39.41176471,15.58229814,66.68284161
0|24|25,51.21212121,17.6162308,24.02708593
0|24|26,100,26.70030915,60.88834334
0|24|3,26.40364188,20.95194805,37.41688312
0|24|4,41.92771084,19.42989214,40.87313816
0|24|5,58.77061469,24.56497334,29.19730564
0|24|6,26.59090909,23.96548436,34.82694508
0|24|7,36.3372093,18.98696251,46.61349097
0|24|8,45.45454545,10.10869565,77.60869565
0|24|9,24.00932401,19.95152099,15.45675789
0|25|1,38.25136612,93.05839118,53.47080441
0|26|1,80.27950311,55.5534198,27.25930602
0|27|1,77.00934579,23.76187903,45.86498427
0|27|10,16.37168142,11.78571429,30.83333333
0|27|11,82.87253142,24.12829042,16.1254803
0|27|12,74.45783133,20.93023256,89.53488372
0|27|13,23.51973684,23.89232127,31.9404867
0|27|14,15.08264463,27.81463819,10.33353439
0|27|15,37.01492537,28.4219457,7.147389913
0|27|16,20.46511628,18.11432122,18.15781299
0|27|17,24.89878543,24.88846469,25.22116171
0|27|18,33.00589391,15.70318958,21.74022856
0|27|19,75.5033557,53.74095589,8.504713337
0|27|2,42.76527331,20.67353067,9.148434148
0|27|20,42.93059126,33.30196324,51.74626827
0|27|21,47.65625,50.57873161,22.6419701
0|27|22,71.83462532,22.92333195,42.44923332
0|27|23,81.40672783,33.55553484,37.07424327
0|27|24,18.32797428,10.79922979,46.88525479
0|27|25,30.06993007,7.767403668,58.7155196
0|27|26,24.65116279,10.72270773,62.69246775
0|27|27,16.16766467,8.701173586,72.29155719
0|27|28,23.87387387,11.48373469,44.49007182
0|27|29,19.23076923,7.782172193,54.75205354
0|27|3,51.22377622,22.54171089,22.52692288
0|27|30,18.51851852,8.430714023,58.89691449
0|27|31,57.45454545,8.45437949,69.33265865
0|27|32,55.98243688,25.36682569,37.4021577
0|27|33,20.43551089,16.96155365,30.72459119
