uni_const_code,n_indnota_pre,n_indnota_post
0|3|12,8,10.5
0|3|13,9,13.5
0|3|2,6,17.5
0|3|3,9,9.5
0|3|4,6,11.5
0|3|5,6,5.5
0|3|6,5,11
0|3|7,19,8
0|3|8,3,7.5
0|3|9,6,6.5
0|4|1,8,11.5
0|5|1,8,7.5
0|5|2,3,5
0|5|3,2,2
0|5|4,4,3.5
0|5|5,12,9
0|6|1,2,6.5
0|6|10,10,10
0|6|2,9,11
0|6|3,7,9
0|6|4,27,23.5
0|6|5,12,7
0|6|6,7,14
0|6|7,9,7.5
0|6|8,18,13.5
0|6|9,12,11
0|7|1,20,7.5
0|7|2,6,8
0|7|3,8,7.5
0|7|4,22,12.5
0|7|5,4,5.5
0|7|6,7,8
0|7|7,5,8.5
0|8|1,9,6
0|8|10,11,3
0|8|11,5,6
0|8|12,9,6.5
0|8|13,4,5.5
0|8|14,3,8.5
0|8|15,9,5
0|8|16,10,7.5
0|8|17,4,6.5
0|8|18,15,10
0|8|19,,1
0|8|2,4,3
0|8|20,,1.5
0|8|21,8,4.5
0|8|22,7,6
0|8|23,4,3.5
0|8|24,6,6.5
0|8|25,10,4
0|8|3,7,5.5
0|8|4,6,6.5
0|8|5,6,7
0|8|6,14,3.5
0|8|7,19,10.5
0|8|8,9,6
0|8|9,7,5.5
0|9|1,7,5
0|9|10,16,5
0|9|11,8,5
0|9|12,7,5.5
0|9|13,12,6.5
0|9|14,2,2.5
0|9|15,8,4
0|9|16,2,4.5
0|9|17,9,6.5
0|9|18,7,4.5
0|9|19,9,11
0|9|2,5,4
0|9|20,5,3
0|9|21,2,5
0|9|22,10,5
0|9|23,3,4.5
0|9|24,3,2.5
0|9|25,2,6.5
0|9|26,5,6
0|9|27,5,3.5
0|9|28,4,4
0|9|29,4,2.5
0|9|3,12,7
0|9|30,4,4.5
0|9|31,4,5.5
0|9|32,7,6.5
0|9|33,8,5
0|9|34,1,4
0|9|35,25,8
0|9|36,11,6
0|9|37,9,16.5
0|9|38,6,5
0|9|39,15,3
0|9|4,11,3.5
0|9|40,4,8
0|9|41,7,2.5
0|9|42,6,4.5
0|9|43,10,7.5
0|9|44,4,6.5
0|9|45,4,1
0|9|46,8,6
0|9|47,5,6
0|9|48,6,2.5
0|9|49,6,4.5
