uni_const_code,pre_ind_nota,post_ind_nota,nota_percoftotal,pre-post,post-pre,nota_vote_percentage,gen_state,state_id,n_indnota_pre,n_indnota_post,post-pre_ncand_nota,post-pre_ncand
0|19|5,45.96412556,26.89088304,53.44619561,19.07324252,-19.07324252,1.035,0,19,5,4,-1,-2
0|19|6,59.61538462,26.93475204,62.90899796,32.68063258,-32.68063258,1.11,0,19,2,2.5,0.5,-0.5
0|19|7,40.07352941,35.80225194,41.06849636,4.27127747,-4.27127747,0.745,0,19,4,4,0,-1
0|19|8,46.45390071,30.83942276,30.85900684,15.61447795,-15.61447795,0.855,0,19,4,4,0,-1
0|19|9,100,45.20690372,45.18610938,54.79309628,-54.79309628,0.93,0,19,1,2.5,1.5,0.5
0|1|1,75.14124294,64.53763678,7.859764598,10.60360616,-10.60360616,1.385,0,1,2,6,4,3
0|1|2,47.63313609,42.14899356,23.01864802,5.48414253,-5.48414253,1.215,0,1,5,6.5,1.5,0.5
0|1|3,63.08724832,31.32683567,24.0905555,31.76041265,-31.76041265,1.165,0,1,3,7,4,3
0|1|4,40.9159468,51.35784924,1.735700064,-10.44190244,10.44190244,0.875,0,1,3,3,0,-1
0|1|5,34.48275862,26.74919485,25.79307568,7.73356377,-7.73356377,0.825,0,1,4,5.5,1.5,0.5
0|1|6,42.01183432,13.94827045,9.078837197,28.06356387,-28.06356387,0.265,0,1,11,12.5,1.5,0.5
0|20|10,89.25836356,28.83413539,52.64208846,60.42422817,-60.42422817,3.08,0,20,3,3,0,-1
0|20|11,61.00628931,24.18041804,48.55199806,36.82587127,-36.82587127,2.89,0,20,3,4.5,1.5,0.5
0|20|12,80.77994429,19.51753674,34.33329106,61.26240755,-61.26240755,1.945,0,20,8,7,-1,-2
0|20|13,49.14228052,22.07463293,22.4547589,27.06764759,-27.06764759,1.175,0,20,7,6.5,-0.5,-1.5
0|20|14,40.08097166,31.3455142,14.99505574,8.73545746,-8.73545746,0.705,0,20,5,6.5,1.5,0.5
0|20|2,27.53751103,21.09967113,26.54817706,6.4378399,-6.4378399,1.715,0,20,8,8,0,-1
0|20|3,35.57951482,30.73644887,23.72377274,4.84306595,-4.84306595,1.37,0,20,7,6,-1,-2
0|20|4,77.70224337,21.35975524,17.74405639,56.34248813,-56.34248813,0.855,0,20,3,11.5,8.5,7.5
0|20|5,32.48,28.17891875,35.65434487,4.30108125,-4.30108125,1.615,0,20,5,5,0,-1
0|20|6,41.02564103,33.08154308,34.41903442,7.94409795,-7.94409795,1.14,0,20,8,5,-3,-4
0|20|7,22.90748899,23.52914434,11.71630136,-0.62165535,0.62165535,0.51,0,20,17,13.5,-3.5,-4.5
0|20|8,20.6185567,28.56567384,14.89461805,-7.94711714,7.94711714,0.505,0,20,16,11,-5,-6
0|20|9,19.76744186,15.56873718,31.67747082,4.19870468,-4.19870468,1,0,20,10,7,-3,-4
0|21|1,100,28.87931034,74.56896552,71.12068966,-71.12068966,1.215,0,21,1,2,1,0
0|21|11,64.70588235,32.88774147,67.11225853,31.81814088,-31.81814088,1.8,0,21,2,2,0,-1
0|21|13,41.8128655,50.62240664,67.53112033,-8.80954114,8.80954114,1.55,0,21,4,2,-2,-3
0|21|14,100,36.234714,50.45167653,63.765286,-63.765286,0.795,0,21,1,3,2,1
0|21|15,100,30.12908778,55.85628227,69.87091222,-69.87091222,0.6,0,21,1,3,2,1
0|21|18,32.0754717,30.58539205,49.77175081,1.49007965,-1.49007965,0.76,0,21,4,4,0,-1
0|21|19,44.08866995,22.04561869,56.39329949,22.04305126,-22.04305126,1.715,0,21,3,3,0,-1
0|21|2,64.77272727,33.73482726,41.6713352,31.03790001,-31.03790001,1.405,0,21,2,3.5,1.5,0.5
0|21|20,38.40399002,22.26750766,50.86346122,16.13648236,-16.13648236,1.425,0,21,4,3.5,-0.5,-1.5
0|21|3,100,23.34231806,61.18598383,76.65768194,-76.65768194,1.275,0,21,1,3,2,1
0|21|4,72.6,70.64564565,59.00900901,1.95435435,-1.95435435,2.015,0,21,2,2,0,-1
0|21|5,55.06216696,25.98550725,57.38405797,29.07665971,-29.07665971,2.045,0,21,3,3,0,-1
0|21|6,65.30612245,21.94615528,47.03714072,43.35996717,-43.35996717,0.69,0,21,2,5,3,2
0|21|7,51.98237885,28.14267756,71.85732244,23.83970129,-23.83970129,0.575,0,21,2,2,0,-1
0|21|8,86.95652174,77.14285714,61.42857143,9.8136646,-9.8136646,0.77,0,21,2,1.5,-0.5,-1.5
0|22|1,34.04825737,23.12788779,59.62211221,10.92036958,-10.92036958,2.455,0,22,6,3.5,-2.5,-3.5
